하 확실히 좋긴 하다ㅋㅋ     ㅇㅇ(118.235) 
시발 이러면 바스코는 왜 욕먹었냐     ㅇㅇ(222.120) 
비오 랩했죠 ㅋㅋㅋㅋ비오 랩했죠 ㅋㅋㅋㅋ비오 랩했죠 ㅋㅋㅋㅋ비오 랩했죠     ㅇㅇ(125.249) 
===11/20 00:49:39===
날떠난 그녀 리아 ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 
비오<~이새끼는 그래도 랩함     NEWBEE 
노래 좋은건 팩트인데 ㅋㅋㅋ     ㅇㅇ 
랩하잖아     ㅇㅇ(175.199) 
이무진 부름?     ㅇㅇ(223.33) 
이건 랩인데 무슨 싱잉 ㅇㅈㄹ하고있네 ㅋㅋ     148cm 
쿤타는 레게라쳐도 쳐건 그냥 락이잖아      ㅇㅇ(59.17) 
이 시각 기억도 안나는 새끼     ㅁㅁㅁ(211.201) 
전화해 취해서???????????     ㅇㅇ(211.59) 
음원1위 떴네     ㅇㅇ(222.121) 
노래 진짜 미쳤다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(39.115) 
도입부는 좋은데?     ㅇㅇ(218.159) 
시발 랩좀해..     05쌈붕이 
이타원클라쓰 ost 같노 ㅋㅋㅋ     ㅇㅇ(14.4) 
===11/20 00:49:44===
머드는 손도 못생겼냐..     ㅇㅇ(39.122) 
속보) 원썬 개빡침     ㅇㅇ(211.243) 
보지 축축하겠노ㅋㅋ     ㅇㅇ(118.220) 
비오 1위네 ㅋㅋ     ㅇㅇ(211.36) 
우승해라 씨발 개좋노 ㅋㅋㅋㅋ     ㅇㅇ(58.125) 
이게 랩이냐? ㅅㅂ     ㅇㅇ(211.246) 
===11/20 00:49:50===
이건 랩인데?     ㅇㅇ(118.235) 
리아가 취해서 비오한테 전화했었노ㅋㅋ     ㅇㅇ(118.235) 
랩인데?     ㅇㅇ 
역시 싱잉 온     ㅇㅇ(39.118) 
랩하라고 씨발년아     촉촉한척추 
비오 곡 좋다     ㅇㅇ(58.235) 
쿤타가 짬이돼서 그런가 더 나은느낌이네     ㅇㅇ(39.7) 
진짜 노래 개좋네 역시 그레이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(39.115) 
머드는 랩이라도했다 시발 ㅋㅋㅋ     ㅇㅇ(175.212) 
붐뱁 힙합이 별로인 이유     ㅅㅂㅈㄷ(59.23) 
타쿠와 요한좌가그립노ㅋㅋ     ㅇㅇ(1.252) 
===11/20 00:49:55===
좋다     ㅇㅇ(223.39) 
왜 씨엔블루가 생각나냐     ㅇㅇ(58.227) 
쿤타-싱잉 / 비오-싱잉랩 맞냐????     ㅇㅇ(182.226) 
개좋다 ㅋㅋㅋㅋㅋ     ㅇㅇ(118.47) 
네오는 랩은 하노 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.174) 
음원 1위 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(113.199) 
음원차트1위     123(125.188) 
비오 우승 ㅇㅇ     ㅇ(1.252) 
오?     ㅇ(121.151) 
===11/20 00:50:01===
시바 노래 존나 좋은데     ㅇㅇ(125.176) 
씨발 너가 우승해라      ㅇㅇ(39.122) 
힙합프로에서 팝과 레게의 대결ㅋㅋㅋㅋㅋ     ㅇㅇ(1.244) 
닥치고 음원1윈데 열등감은 ㅋㅋ     ㅇㅇ 
좆전목마 <- 물로켓이면 개추 ㅋㅋㅋㅋ     ㅇㅇ 
싱잉오브차이나ㄷㄷ     ㅇㅇ 
나를 떠난 그녀 리아 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.62) 
솔직히 이거 존나 좋음 ㅋㅋㅋㅋㅋ     ㅇㅇ(121.167) 
가시>>>기억도 안나면 개추 ㅋㅋㅋㅋ     ㅇㅇ(58.123) 
이게 랩이냐?     ㅇㅇ(119.204) 
랩인데?     ㅇㅇ(219.251) 
아니 이거 왜 좋노?     ㅇㅇ(116.32) 
이태원클라스ost같음..     ㅇㅇ(49.171) 
비오꺼빼고 다구려 오늘     머머따 
아니 이게 힙합이가?     ㅇㅇ(118.139) 
이게 젤좋네 ㅇㅇ     ㅇㅇ(175.192) 
랩하긴함     ㅇㅇ(182.226) 
===11/20 00:50:06===
ㄹㅇ 국힙 ㅈ망했노     ㅇㅇ(110.12) 
고등래퍼2가 랩 더 잘한다 시발     ㅇㅇ(125.180) 
씨발 쿤타 가겠네..     ㅇㅇ(14.4) 
이거까짐 싱잉랩이지     ㅇㅇ(39.7) 
이정도면 랩이지     세종대가고.. 
개좋은디  ㅋㅋㅋ     ㅇㅇ(125.135) 
뭔 영화 ost같냐     ㅇㅇ 
이번주 쇼미 음원 이게 먹을듯ㅋㅋ     ㅇㅇ(14.36) 
비오 차트는 예약이네ㅋㅋㅋㅋㅋㅋㅋㅋ     B1ackRose 
존나 좋은데 ㅋㅋ     ㅇㅇ(223.39) 
랩 하긴 하노 ㅋㅋㅋㅋㅋ     crawler 
노래 기승전결 존나 잘됐네 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(39.115) 
이무진~~~~~     ㅇㅇ(218.145) 
락스코 << 지금 생각하면 ㅈㄴ 웃기노 ㅋㅋㅋㅋ     ㅇㅇ(117.111) 
비오 우승 ㅇㅈ     ㅇㅇ(112.164) 
그뤠이 여지없이 나오네 ㅋㅋㅋㄱㅋㅋ     ㅇㅇ(182.212) 
비트도 야무지노     박원숭(118.217) 
이런 노래는 걍 제이슨 므라즈가 부르면 더 좋을거다 시발     ㅇㅇ(49.161) 
응~~~모야모야~     ㅇㅇ(121.172) 
싱잉더머니 ㅋㅋ     ㅇㅇ(211.232) 
===11/20 00:50:12===
알앤비~싱잉랩~ 그 사이 3초도 없는 힙합~     ㅇㅇ(211.214) 
힙합경연 프로그램에서 랩했다고 글이 올라오네 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(222.104) 
팝송 느낌나노     시대검 
걍 밴드인데? 랩 언제하농?     ㅇㅇ(211.220) 
리아 눈물ㅜㅜㅠ     ㅇㅇ(14.37) 
산이 얘기 없이 비오 인생 논할수있냐?     ㅇㅇ(210.117) 
비오 우승ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(125.133) 
아니 최소한 이정도 느낌이어야 싱잉'랩'이지     ㅇㅇㅇㅇ(118.33) 
아 오늘은 머드빼고 딴건 다 좆같다 진심     ㅇㅇ(61.80) 
내동생 처다도 ㅡ안보다 비오듣고 좋다함ㅇㅇ     ㅇㅇ(175.199) 
쿤타 승     ㅇ(115.21) 
곡은 ㅈㄴ 좋네     ㅇㅇ(39.117) 
이건 랩이지 라임이 살아있는데     ㅇㅇ(122.36) 
이새끼들은 조금만 느리면 싱잉임? ㅋㅋㅋ     148cm 
비트 존나 좋네     ㅇㅇ(1.238) 
원썬 유튭커뮤니티 실시간 반응     ㅇㅇ(117.123) 
ost ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.62) 
음원은 1위 가능할듯ㅋㅋㅋㅋ     ㅇㅇ(122.39) 
비오는 노래 랩 둘다 잘해서 ㅇㅇ     ㅇㅇ(210.223) 
모르겠고 쿤타 음원 풀어줘ㅠ     ㅇㅇ(59.26) 
마지막에 음정 존나불안하노     NEWBEE 
노래는젤좋네 ㅋㅋㅋ     김육수 
음원1위탈환 ㅋㅋ     ㅇㅇ(118.47) 
===11/20 00:50:17===
시발 노래는 좋노     ㅇㅇ(14.52) 
뭔가 잘 안풀린 비오.jpg     ㅇㅇ(168.126) 
좆되네..     ㅇㅇ(218.239) 
이거면 랩이지 그냥 ㅋㅋㅋㅋㅋ     ㅇㅇ(115.137) 
아니 이거 쇼미 맞노? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.187) 
제발 쿤타 베이식 우승좀     오닉 
비트가 ㅅㅂ ㅆㅅㅌㅊ네 ㅋㅋㅋㅋ     Jvckiwai 
리무진 단어 왤캐 구려보임?     ㅇㅇ(119.67) 
소신발언) 솔직히 좋음     :) 
뜨또 노래같노 개좋네      ㅇㅇ(211.36) 
비오 <~ 진지하게 나플라 비와이급 우승확률 같음     ㅇㅇ(124.53) 
래퍼새끼들 배불러서 이제 심심함 한 5년 쇼미 안해서     ㅇㅇ(219.248) 
1위 예약이노 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.39) 
씨발 싱잉이라 좆같은데 노래는 존나 좋냐     ㅇㅇ(175.195) 
이정도 싱잉이면 본선무대에 하나쯤있어도 될거같음     ナナシ 
비트 미쳤나 ㅋㅋ     ㅇㅇ(1.252) 
념 요청) 머드 1차 진 이유     ㅇㅇ(110.70) 
이정도면 랩임ㅇ     ㅇㅇ(211.51) 
회전목마, 가시 <ㅡ 확실히 힙합이었으면 개추ㅋㅋ     ㅇㅇ(58.226) 
비오 좋다ㅋㅋㅋㅋㅋㅋㅋㅋ     B1ackRose 
